2025-09-20 17:02:27,354 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.004, 'preprocessing_time': 0.0392, 'total_time': 0.0472, 'memory_usage_mb': 1.96, 'spectrum_length': 380, 'timestamp': '2025-09-20T21:02:27.354203'}
2025-09-20 18:29:01,938 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0019, 'total_time': 0.0039, 'memory_usage_mb': 1.46, 'spectrum_length': 380, 'timestamp': '2025-09-20T22:29:01.938665'}
2025-09-20 18:29:33,095 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0062, 'preprocessing_time': 0.0, 'total_time': 0.0067, 'memory_usage_mb': 2.49, 'spectrum_length': 3351, 'timestamp': '2025-09-20T22:29:33.095657'}
2025-09-20 18:29:57,111 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0051, 'preprocessing_time': 0.0, 'total_time': 0.0051, 'memory_usage_mb': 1.52, 'spectrum_length': 3351, 'timestamp': '2025-09-20T22:29:57.111051'}
2025-09-20 18:30:22,948 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'enhanced_cnn', 'inference_time': 0.002, 'preprocessing_time': 0.0, 'total_time': 0.004, 'memory_usage_mb': 0.51, 'spectrum_length': 3351, 'timestamp': '2025-09-20T22:30:22.948277'}
2025-09-20 18:32:18,848 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0, 'total_time': 0.002, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:32:18.848794'}
2025-09-20 18:32:44,874 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0019, 'preprocessing_time': 0.001, 'total_time': 0.003, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:32:44.874832'}
2025-09-20 18:35:26,349 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet18vision', 'inference_time': 0.0095, 'preprocessing_time': 0.0, 'total_time': 0.0095, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:35:26.349585'}
2025-09-20 18:35:29,881 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'efficient_cnn', 'inference_time': 0.0038, 'preprocessing_time': 0.0, 'total_time': 0.0038, 'memory_usage_mb': 0.25, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:35:29.881927'}
2025-09-20 18:36:34,960 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'efficient_cnn', 'inference_time': 0.003, 'preprocessing_time': 0.002, 'total_time': 0.005, 'memory_usage_mb': 0.05, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:36:34.960003'}
2025-09-20 18:36:39,106 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'hybrid_net', 'inference_time': 0.002, 'preprocessing_time': 0.006, 'total_time': 0.008, 'memory_usage_mb': 3.05, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:36:39.106952'}
2025-09-20 18:51:35,178 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 1.55, 'spectrum_length': 380, 'timestamp': '2025-09-20T22:51:35.178274'}
2025-09-20 18:52:07,090 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.001, 'total_time': 0.002, 'memory_usage_mb': 0.0, 'spectrum_length': 1414, 'timestamp': '2025-09-20T22:52:07.090547'}
2025-09-20 19:02:19,494 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'enhanced_cnn', 'inference_time': 0.0179, 'preprocessing_time': 0.002, 'total_time': 0.0199, 'memory_usage_mb': 0.96, 'spectrum_length': 1414, 'timestamp': '2025-09-20T23:02:19.494250'}
2025-09-20 19:07:44,576 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 1.45, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:07:44.576659'}
2025-09-20 19:08:19,791 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0035, 'total_time': 0.0055, 'memory_usage_mb': 1.55, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:08:19.791852'}
2025-09-20 19:09:05,395 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.0021, 'total_time': 0.0041, 'memory_usage_mb': 1.52, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:09:05.395269'}
2025-09-20 19:09:13,570 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.004, 'memory_usage_mb': 1.53, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:09:13.570830'}
2025-09-20 19:09:23,115 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0013, 'preprocessing_time': 0.002, 'total_time': 0.0043, 'memory_usage_mb': 1.36, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:09:23.115232'}
2025-09-20 19:11:19,634 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0012, 'preprocessing_time': 0.0026, 'total_time': 0.0038, 'memory_usage_mb': 1.36, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:11:19.634613'}
2025-09-20 19:12:23,409 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'enhanced_cnn', 'inference_time': 0.006, 'preprocessing_time': 0.0, 'total_time': 0.006, 'memory_usage_mb': 1.52, 'spectrum_length': 3351, 'timestamp': '2025-09-20T23:12:23.409607'}
2025-09-20 19:12:33,583 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0009, 'preprocessing_time': 0.001, 'total_time': 0.0019, 'memory_usage_mb': 0.01, 'spectrum_length': 3351, 'timestamp': '2025-09-20T23:12:33.583393'}
2025-09-20 19:12:33,736 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0329, 'preprocessing_time': 0.002, 'total_time': 0.0349, 'memory_usage_mb': 1.62, 'spectrum_length': 3351, 'timestamp': '2025-09-20T23:12:33.736744'}
2025-09-20 19:19:08,228 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.002, 'preprocessing_time': 0.002, 'total_time': 0.004, 'memory_usage_mb': 1.48, 'spectrum_length': 380, 'timestamp': '2025-09-20T23:19:08.228225'}
2025-09-20 22:32:03,114 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0118, 'preprocessing_time': 0.0158, 'total_time': 0.0296, 'memory_usage_mb': 1.39, 'spectrum_length': 380, 'timestamp': '2025-09-21T02:32:03.114653'}
2025-09-20 22:33:24,362 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.001, 'preprocessing_time': 0.001, 'total_time': 0.002, 'memory_usage_mb': 0.01, 'spectrum_length': 3351, 'timestamp': '2025-09-21T02:33:24.361846'}
2025-09-20 22:33:24,530 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0586, 'preprocessing_time': 0.0, 'total_time': 0.0586, 'memory_usage_mb': 2.5, 'spectrum_length': 3351, 'timestamp': '2025-09-21T02:33:24.530932'}
2025-09-20 22:33:33,931 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-21T02:33:33.931243'}
2025-09-20 22:33:43,657 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0072, 'preprocessing_time': 0.0, 'total_time': 0.0072, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-21T02:33:43.657422'}
2025-09-21 03:11:28,681 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0045, 'preprocessing_time': 0.0, 'total_time': 0.0045, 'memory_usage_mb': 1.59, 'spectrum_length': 1414, 'timestamp': '2025-09-21T07:11:28.681588'}
2025-09-22 02:05:01,813 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.004, 'preprocessing_time': 0.0158, 'total_time': 0.0313, 'memory_usage_mb': 1.68, 'spectrum_length': 380, 'timestamp': '2025-09-22T06:05:01.813933'}
2025-09-22 02:06:56,618 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.01, 'spectrum_length': 3351, 'timestamp': '2025-09-22T06:06:56.618316'}
2025-09-22 02:07:31,654 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'efficient_cnn', 'inference_time': 0.061, 'preprocessing_time': 0.0, 'total_time': 0.061, 'memory_usage_mb': 2.2, 'spectrum_length': 3351, 'timestamp': '2025-09-22T06:07:31.654176'}
2025-09-22 02:07:41,755 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'hybrid_net', 'inference_time': 0.0394, 'preprocessing_time': 0.0, 'total_time': 0.0394, 'memory_usage_mb': 4.4, 'spectrum_length': 3351, 'timestamp': '2025-09-22T06:07:41.755423'}
2025-09-22 02:07:47,831 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.016, 'total_time': 0.016, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-22T06:07:47.831196'}
2025-09-22 02:07:48,749 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0003, 'preprocessing_time': 0.0, 'total_time': 0.0177, 'memory_usage_mb': 0.0, 'spectrum_length': 3351, 'timestamp': '2025-09-22T06:07:48.749685'}
2025-09-22 11:08:03,939 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0107, 'preprocessing_time': 0.0174, 'total_time': 0.0291, 'memory_usage_mb': 1.7, 'spectrum_length': 380, 'timestamp': '2025-09-22T15:08:03.939973'}
2025-09-22 23:47:55,563 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.014, 'preprocessing_time': 0.0084, 'total_time': 0.0366, 'memory_usage_mb': 1.57, 'spectrum_length': 380, 'timestamp': '2025-09-23T03:47:55.563651'}
2025-09-22 23:48:46,396 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'efficient_cnn', 'inference_time': 0.0515, 'preprocessing_time': 0.0, 'total_time': 0.0515, 'memory_usage_mb': 2.22, 'spectrum_length': 1414, 'timestamp': '2025-09-23T03:48:46.396784'}
2025-09-23 01:08:24,716 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0105, 'preprocessing_time': 0.0149, 'total_time': 0.0264, 'memory_usage_mb': 1.5, 'spectrum_length': 380, 'timestamp': '2025-09-23T05:08:24.716031'}
2025-09-23 01:38:54,969 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0581, 'preprocessing_time': 0.0064, 'total_time': 0.0645, 'memory_usage_mb': 4.01, 'spectrum_length': 1414, 'timestamp': '2025-09-23T05:38:54.969224'}
2025-09-23 01:39:01,999 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.03, 'spectrum_length': 1414, 'timestamp': '2025-09-23T05:39:01.999493'}
2025-09-23 01:39:02,099 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'resnet', 'inference_time': 0.0, 'preprocessing_time': 0.0, 'total_time': 0.0, 'memory_usage_mb': 0.05, 'spectrum_length': 1414, 'timestamp': '2025-09-23T05:39:02.099342'}
2025-09-25 14:02:54,434 - performance - INFO - MODEL_PERF: {'operation': 'model_inference', 'model_name': 'figure2', 'inference_time': 0.0198, 'preprocessing_time': 0.04, 'total_time': 0.0678, 'memory_usage_mb': 1.8, 'spectrum_length': 380, 'timestamp': '2025-09-25T18:02:54.434270'}
